store_id,segment,month,status,store_name,gmv
MI_00001,Mid Market,2023-01-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-02-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-03-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-04-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-05-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-06-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-07-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-08-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-09-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-10-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-11-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2023-12-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2024-01-01,churn,Mega3 Shop3,0.0
MI_00001,Mid Market,2024-02-01,ativo,Mega3 Shop3,23607.749093107872
MI_00001,Mid Market,2024-03-01,ativo,Mega3 Shop3,20500.58985453458
MI_00001,Mid Market,2024-04-01,ativo,Mega3 Shop3,25323.33969317591
MI_00001,Mid Market,2024-05-01,ativo,Mega3 Shop3,24412.06188998487
MI_00001,Mid Market,2024-06-01,ativo,Mega3 Shop3,29817.08702245773
MI_00001,Mid Market,2024-07-01,ativo,Mega3 Shop3,29297.798253254823
MI_00001,Mid Market,2024-08-01,ativo,Mega3 Shop3,26347.520072356543
MI_00001,Mid Market,2024-09-01,ativo,Mega3 Shop3,24648.023604528116
MI_00001,Mid Market,2024-10-01,ativo,Mega3 Shop3,36238.78472444014
MI_00001,Mid Market,2024-11-01,ativo,Mega3 Shop3,28885.24135681213
MI_00001,Mid Market,2024-12-01,ativo,Mega3 Shop3,32824.11353670355
MI_00002,Mid Market,2023-01-01,churn,Comercial5 Total2,0.0
MI_00002,Mid Market,2023-02-01,churn,Comercial5 Total2,0.0
MI_00002,Mid Market,2023-03-01,churn,Comercial5 Total2,0.0
MI_00002,Mid Market,2023-04-01,churn,Comercial5 Total2,0.0
